timestamp,timestamp,meter_reading
2017-02-24 15:00:00,2017-02-24 15:00:00,121.0
2017-02-24 16:00:00,2017-02-24 16:00:00,121.0
2017-02-24 17:00:00,2017-02-24 17:00:00,128.0
2017-02-24 18:00:00,2017-02-24 18:00:00,139.0
2017-02-24 19:00:00,2017-02-24 19:00:00,147.0
2017-02-24 20:00:00,2017-02-24 20:00:00,145.0
2017-02-24 21:00:00,2017-02-24 21:00:00,132.0
2017-02-24 22:00:00,2017-02-24 22:00:00,116.0
2017-02-24 23:00:00,2017-02-24 23:00:00,114.0
2017-02-25 00:00:00,2017-02-25 00:00:00,114.0
2017-02-25 01:00:00,2017-02-25 01:00:00,114.0
2017-02-25 02:00:00,2017-02-25 02:00:00,114.0
2017-02-25 03:00:00,2017-02-25 03:00:00,114.0
2017-02-25 04:00:00,2017-02-25 04:00:00,114.0
2017-02-25 05:00:00,2017-02-25 05:00:00,114.0
2017-02-25 06:00:00,2017-02-25 06:00:00,60.0
2017-02-25 07:00:00,2017-02-25 07:00:00,60.0
2017-02-25 08:00:00,2017-02-25 08:00:00,60.0
2017-02-25 09:00:00,2017-02-25 09:00:00,60.0
2017-02-25 10:00:00,2017-02-25 10:00:00,60.0
2017-02-25 11:00:00,2017-02-25 11:00:00,60.0
2017-02-25 12:00:00,2017-02-25 12:00:00,60.0
2017-02-25 13:00:00,2017-02-25 13:00:00,61.0
2017-02-25 14:00:00,2017-02-25 14:00:00,72.0
2017-02-25 15:00:00,2017-02-25 15:00:00,117.0
2017-02-25 16:00:00,2017-02-25 16:00:00,109.0
2017-02-25 17:00:00,2017-02-25 17:00:00,153.0
2017-02-25 18:00:00,2017-02-25 18:00:00,104.0
2017-02-25 19:00:00,2017-02-25 19:00:00,107.0
2017-02-25 20:00:00,2017-02-25 20:00:00,145.0
2017-02-25 21:00:00,2017-02-25 21:00:00,91.0
2017-02-25 22:00:00,2017-02-25 22:00:00,110.0
2017-02-25 23:00:00,2017-02-25 23:00:00,114.0
2017-02-26 00:00:00,2017-02-26 00:00:00,114.0
2017-02-26 01:00:00,2017-02-26 01:00:00,114.0
2017-02-26 02:00:00,2017-02-26 02:00:00,114.0
2017-02-26 03:00:00,2017-02-26 03:00:00,114.0
2017-02-26 04:00:00,2017-02-26 04:00:00,120.0
2017-02-26 05:00:00,2017-02-26 05:00:00,114.0
2017-02-26 06:00:00,2017-02-26 06:00:00,60.0
2017-02-26 07:00:00,2017-02-26 07:00:00,60.0
2017-02-26 08:00:00,2017-02-26 08:00:00,60.0
2017-02-26 09:00:00,2017-02-26 09:00:00,60.0
2017-02-26 10:00:00,2017-02-26 10:00:00,60.0
2017-02-26 11:00:00,2017-02-26 11:00:00,60.0
2017-02-26 12:00:00,2017-02-26 12:00:00,60.0
2017-02-26 13:00:00,2017-02-26 13:00:00,63.0
2017-02-26 14:00:00,2017-02-26 14:00:00,65.0
2017-02-26 15:00:00,2017-02-26 15:00:00,70.0
2017-02-26 16:00:00,2017-02-26 16:00:00,120.0
2017-02-26 17:00:00,2017-02-26 17:00:00,119.0
2017-02-26 18:00:00,2017-02-26 18:00:00,121.0
2017-02-26 19:00:00,2017-02-26 19:00:00,120.0
2017-02-26 20:00:00,2017-02-26 20:00:00,122.0
2017-02-26 21:00:00,2017-02-26 21:00:00,116.0
2017-02-26 22:00:00,2017-02-26 22:00:00,118.0
2017-02-26 23:00:00,2017-02-26 23:00:00,120.0
2017-02-27 00:00:00,2017-02-27 00:00:00,126.0
2017-02-27 01:00:00,2017-02-27 01:00:00,126.0
2017-02-27 02:00:00,2017-02-27 02:00:00,126.0
2017-02-27 03:00:00,2017-02-27 03:00:00,126.0
2017-02-27 04:00:00,2017-02-27 04:00:00,126.0
2017-02-27 05:00:00,2017-02-27 05:00:00,120.0
2017-02-27 06:00:00,2017-02-27 06:00:00,120.0
2017-02-27 07:00:00,2017-02-27 07:00:00,120.0
2017-02-27 08:00:00,2017-02-27 08:00:00,102.0
2017-02-27 09:00:00,2017-02-27 09:00:00,102.0
2017-02-27 10:00:00,2017-02-27 10:00:00,102.0
2017-02-27 11:00:00,2017-02-27 11:00:00,102.0
2017-02-27 12:00:00,2017-02-27 12:00:00,114.0
2017-02-27 13:00:00,2017-02-27 13:00:00,116.0
2017-02-27 14:00:00,2017-02-27 14:00:00,112.0
2017-02-27 15:00:00,2017-02-27 15:00:00,120.0
2017-02-27 16:00:00,2017-02-27 16:00:00,128.0
2017-02-27 17:00:00,2017-02-27 17:00:00,113.0
2017-02-27 18:00:00,2017-02-27 18:00:00,154.0
2017-02-27 19:00:00,2017-02-27 19:00:00,120.0
2017-02-27 20:00:00,2017-02-27 20:00:00,125.0
2017-02-27 21:00:00,2017-02-27 21:00:00,127.0
2017-02-27 22:00:00,2017-02-27 22:00:00,123.0
2017-02-27 23:00:00,2017-02-27 23:00:00,126.0
2017-02-28 00:00:00,2017-02-28 00:00:00,126.0
2017-02-28 01:00:00,2017-02-28 01:00:00,126.0
2017-02-28 02:00:00,2017-02-28 02:00:00,132.0
2017-02-28 03:00:00,2017-02-28 03:00:00,126.0
2017-02-28 04:00:00,2017-02-28 04:00:00,126.0
2017-02-28 05:00:00,2017-02-28 05:00:00,126.0
2017-02-28 06:00:00,2017-02-28 06:00:00,120.0
2017-02-28 07:00:00,2017-02-28 07:00:00,120.0
2017-02-28 08:00:00,2017-02-28 08:00:00,114.0
2017-02-28 09:00:00,2017-02-28 09:00:00,114.0
2017-02-28 10:00:00,2017-02-28 10:00:00,114.0
2017-02-28 11:00:00,2017-02-28 11:00:00,114.0
2017-02-28 12:00:00,2017-02-28 12:00:00,114.0
2017-02-28 13:00:00,2017-02-28 13:00:00,9.0
2017-02-28 14:00:00,2017-02-28 14:00:00,125.0
2017-02-28 15:00:00,2017-02-28 15:00:00,124.0
2017-02-28 16:00:00,2017-02-28 16:00:00,123.0
2017-02-28 17:00:00,2017-02-28 17:00:00,109.0
2017-02-28 18:00:00,2017-02-28 18:00:00,133.0
2017-02-28 19:00:00,2017-02-28 19:00:00,103.0
2017-02-28 20:00:00,2017-02-28 20:00:00,127.0
2017-02-28 21:00:00,2017-02-28 21:00:00,125.0
2017-02-28 22:00:00,2017-02-28 22:00:00,126.0
2017-02-28 23:00:00,2017-02-28 23:00:00,120.0
2017-03-01 00:00:00,2017-03-01 00:00:00,120.0
2017-03-01 01:00:00,2017-03-01 01:00:00,126.0
2017-03-01 02:00:00,2017-03-01 02:00:00,126.0
2017-03-01 03:00:00,2017-03-01 03:00:00,126.0
2017-03-01 04:00:00,2017-03-01 04:00:00,126.0
2017-03-01 05:00:00,2017-03-01 05:00:00,120.0
2017-03-01 06:00:00,2017-03-01 06:00:00,120.0
2017-03-01 07:00:00,2017-03-01 07:00:00,120.0
2017-03-01 08:00:00,2017-03-01 08:00:00,120.0
2017-03-01 09:00:00,2017-03-01 09:00:00,114.0
2017-03-01 10:00:00,2017-03-01 10:00:00,114.0
2017-03-01 11:00:00,2017-03-01 11:00:00,114.0
2017-03-01 12:00:00,2017-03-01 12:00:00,114.0
2017-03-01 13:00:00,2017-03-01 13:00:00,117.0
2017-03-01 14:00:00,2017-03-01 14:00:00,117.0
2017-03-01 15:00:00,2017-03-01 15:00:00,140.0
2017-03-01 16:00:00,2017-03-01 16:00:00,39.0
2017-03-01 17:00:00,2017-03-01 17:00:00,135.0
2017-03-01 18:00:00,2017-03-01 18:00:00,72.0
2017-03-01 19:00:00,2017-03-01 19:00:00,90.0
2017-03-01 20:00:00,2017-03-01 20:00:00,104.0
2017-03-01 21:00:00,2017-03-01 21:00:00,125.0
2017-03-01 22:00:00,2017-03-01 22:00:00,120.0
2017-03-01 23:00:00,2017-03-01 23:00:00,120.0
2017-03-02 00:00:00,2017-03-02 00:00:00,120.0
2017-03-02 01:00:00,2017-03-02 01:00:00,126.0
2017-03-02 02:00:00,2017-03-02 02:00:00,120.0
2017-03-02 03:00:00,2017-03-02 03:00:00,126.0
2017-03-02 04:00:00,2017-03-02 04:00:00,120.0
2017-03-02 05:00:00,2017-03-02 05:00:00,120.0
2017-03-02 06:00:00,2017-03-02 06:00:00,120.0
2017-03-02 07:00:00,2017-03-02 07:00:00,120.0
2017-03-02 08:00:00,2017-03-02 08:00:00,114.0
2017-03-02 09:00:00,2017-03-02 09:00:00,114.0
2017-03-02 10:00:00,2017-03-02 10:00:00,114.0
2017-03-02 11:00:00,2017-03-02 11:00:00,114.0
2017-03-02 12:00:00,2017-03-02 12:00:00,114.0
2017-03-02 13:00:00,2017-03-02 13:00:00,119.0
2017-03-02 14:00:00,2017-03-02 14:00:00,122.0
2017-03-02 15:00:00,2017-03-02 15:00:00,123.0
2017-03-02 16:00:00,2017-03-02 16:00:00,70.0
2017-03-02 17:00:00,2017-03-02 17:00:00,112.0
2017-03-02 18:00:00,2017-03-02 18:00:00,127.0
2017-03-02 19:00:00,2017-03-02 19:00:00,63.0
2017-03-02 20:00:00,2017-03-02 20:00:00,145.0
2017-03-02 21:00:00,2017-03-02 21:00:00,79.0
2017-03-02 22:00:00,2017-03-02 22:00:00,113.0
2017-03-02 23:00:00,2017-03-02 23:00:00,114.0
2017-03-03 00:00:00,2017-03-03 00:00:00,120.0
2017-03-03 01:00:00,2017-03-03 01:00:00,120.0
2017-03-03 02:00:00,2017-03-03 02:00:00,120.0
2017-03-03 03:00:00,2017-03-03 03:00:00,120.0
2017-03-03 04:00:00,2017-03-03 04:00:00,120.0
2017-03-03 05:00:00,2017-03-03 05:00:00,120.0
2017-03-03 06:00:00,2017-03-03 06:00:00,120.0
2017-03-03 07:00:00,2017-03-03 07:00:00,120.0
2017-03-03 08:00:00,2017-03-03 08:00:00,114.0
2017-03-03 09:00:00,2017-03-03 09:00:00,114.0
2017-03-03 10:00:00,2017-03-03 10:00:00,114.0
2017-03-03 11:00:00,2017-03-03 11:00:00,120.0
2017-03-03 12:00:00,2017-03-03 12:00:00,114.0
2017-03-03 13:00:00,2017-03-03 13:00:00,119.0
2017-03-03 14:00:00,2017-03-03 14:00:00,127.0
2017-03-03 15:00:00,2017-03-03 15:00:00,155.0
2017-03-03 16:00:00,2017-03-03 16:00:00,160.0
2017-03-03 17:00:00,2017-03-03 17:00:00,150.0
2017-03-03 18:00:00,2017-03-03 18:00:00,130.0
2017-03-03 19:00:00,2017-03-03 19:00:00,52.0
2017-03-03 20:00:00,2017-03-03 20:00:00,173.0
2017-03-03 21:00:00,2017-03-03 21:00:00,129.0
2017-03-03 22:00:00,2017-03-03 22:00:00,105.0
2017-03-03 23:00:00,2017-03-03 23:00:00,114.0
2017-03-04 00:00:00,2017-03-04 00:00:00,72.0
2017-03-04 01:00:00,2017-03-04 01:00:00,60.0
2017-03-04 02:00:00,2017-03-04 02:00:00,60.0
2017-03-04 03:00:00,2017-03-04 03:00:00,60.0
2017-03-04 04:00:00,2017-03-04 04:00:00,60.0
2017-03-04 05:00:00,2017-03-04 05:00:00,60.0
2017-03-04 06:00:00,2017-03-04 06:00:00,60.0
2017-03-04 07:00:00,2017-03-04 07:00:00,60.0
2017-03-04 08:00:00,2017-03-04 08:00:00,60.0
2017-03-04 09:00:00,2017-03-04 09:00:00,60.0
2017-03-04 10:00:00,2017-03-04 10:00:00,66.0
2017-03-04 11:00:00,2017-03-04 11:00:00,60.0
2017-03-04 12:00:00,2017-03-04 12:00:00,60.0
2017-03-04 13:00:00,2017-03-04 13:00:00,69.0
2017-03-04 14:00:00,2017-03-04 14:00:00,102.0
2017-03-04 15:00:00,2017-03-04 15:00:00,82.0
2017-03-04 16:00:00,2017-03-04 16:00:00,130.0
2017-03-04 17:00:00,2017-03-04 17:00:00,151.0
2017-03-04 18:00:00,2017-03-04 18:00:00,154.0
2017-03-04 19:00:00,2017-03-04 19:00:00,111.0
2017-03-04 20:00:00,2017-03-04 20:00:00,107.0
2017-03-04 21:00:00,2017-03-04 21:00:00,102.0
2017-03-04 22:00:00,2017-03-04 22:00:00,93.0
2017-03-04 23:00:00,2017-03-04 23:00:00,54.0
2017-03-05 00:00:00,2017-03-05 00:00:00,60.0
2017-03-05 01:00:00,2017-03-05 01:00:00,60.0
2017-03-05 02:00:00,2017-03-05 02:00:00,60.0
2017-03-05 03:00:00,2017-03-05 03:00:00,60.0
2017-03-05 04:00:00,2017-03-05 04:00:00,60.0
2017-03-05 05:00:00,2017-03-05 05:00:00,60.0
2017-03-05 06:00:00,2017-03-05 06:00:00,66.0
2017-03-05 07:00:00,2017-03-05 07:00:00,60.0
2017-03-05 08:00:00,2017-03-05 08:00:00,60.0
2017-03-05 09:00:00,2017-03-05 09:00:00,60.0
2017-03-05 10:00:00,2017-03-05 10:00:00,60.0
2017-03-05 11:00:00,2017-03-05 11:00:00,60.0
2017-03-05 12:00:00,2017-03-05 12:00:00,60.0
2017-03-05 13:00:00,2017-03-05 13:00:00,64.0
2017-03-05 14:00:00,2017-03-05 14:00:00,89.0
2017-03-05 15:00:00,2017-03-05 15:00:00,81.0
2017-03-05 16:00:00,2017-03-05 16:00:00,129.0
2017-03-05 17:00:00,2017-03-05 17:00:00,150.0
2017-03-05 18:00:00,2017-03-05 18:00:00,157.0
2017-03-05 19:00:00,2017-03-05 19:00:00,105.0
2017-03-05 20:00:00,2017-03-05 20:00:00,109.0
2017-03-05 21:00:00,2017-03-05 21:00:00,106.0
2017-03-05 22:00:00,2017-03-05 22:00:00,94.0
2017-03-05 23:00:00,2017-03-05 23:00:00,54.0
2017-03-06 00:00:00,2017-03-06 00:00:00,60.0
2017-03-06 01:00:00,2017-03-06 01:00:00,60.0
2017-03-06 02:00:00,2017-03-06 02:00:00,66.0
2017-03-06 03:00:00,2017-03-06 03:00:00,60.0
2017-03-06 04:00:00,2017-03-06 04:00:00,60.0
2017-03-06 05:00:00,2017-03-06 05:00:00,60.0
2017-03-06 06:00:00,2017-03-06 06:00:00,60.0
2017-03-06 07:00:00,2017-03-06 07:00:00,60.0
2017-03-06 08:00:00,2017-03-06 08:00:00,60.0
2017-03-06 09:00:00,2017-03-06 09:00:00,60.0
2017-03-06 10:00:00,2017-03-06 10:00:00,60.0
2017-03-06 11:00:00,2017-03-06 11:00:00,78.0
2017-03-06 12:00:00,2017-03-06 12:00:00,114.0
2017-03-06 13:00:00,2017-03-06 13:00:00,124.0
2017-03-06 14:00:00,2017-03-06 14:00:00,121.0
2017-03-06 15:00:00,2017-03-06 15:00:00,110.0
2017-03-06 16:00:00,2017-03-06 16:00:00,119.0
2017-03-06 17:00:00,2017-03-06 17:00:00,118.0
2017-03-06 18:00:00,2017-03-06 18:00:00,109.0
2017-03-06 19:00:00,2017-03-06 19:00:00,118.0
2017-03-06 20:00:00,2017-03-06 20:00:00,111.0
2017-03-06 21:00:00,2017-03-06 21:00:00,110.0
2017-03-06 22:00:00,2017-03-06 22:00:00,112.0
2017-03-06 23:00:00,2017-03-06 23:00:00,114.0
2017-03-07 00:00:00,2017-03-07 00:00:00,114.0
2017-03-07 01:00:00,2017-03-07 01:00:00,114.0
2017-03-07 02:00:00,2017-03-07 02:00:00,114.0
2017-03-07 03:00:00,2017-03-07 03:00:00,114.0
2017-03-07 04:00:00,2017-03-07 04:00:00,60.0
2017-03-07 05:00:00,2017-03-07 05:00:00,60.0
2017-03-07 06:00:00,2017-03-07 06:00:00,66.0
2017-03-07 07:00:00,2017-03-07 07:00:00,60.0
2017-03-07 08:00:00,2017-03-07 08:00:00,60.0
2017-03-07 09:00:00,2017-03-07 09:00:00,60.0
2017-03-07 10:00:00,2017-03-07 10:00:00,60.0
2017-03-07 11:00:00,2017-03-07 11:00:00,90.0
2017-03-07 12:00:00,2017-03-07 12:00:00,108.0
2017-03-07 13:00:00,2017-03-07 13:00:00,109.0
2017-03-07 14:00:00,2017-03-07 14:00:00,133.0
2017-03-07 15:00:00,2017-03-07 15:00:00,123.0
2017-03-07 16:00:00,2017-03-07 16:00:00,20.0
2017-03-07 17:00:00,2017-03-07 17:00:00,102.0
2017-03-07 18:00:00,2017-03-07 18:00:00,92.0
2017-03-07 19:00:00,2017-03-07 19:00:00,109.0
2017-03-07 20:00:00,2017-03-07 20:00:00,126.0
2017-03-07 21:00:00,2017-03-07 21:00:00,103.0
2017-03-07 22:00:00,2017-03-07 22:00:00,109.0
2017-03-07 23:00:00,2017-03-07 23:00:00,114.0
2017-03-08 00:00:00,2017-03-08 00:00:00,114.0
2017-03-08 01:00:00,2017-03-08 01:00:00,114.0
2017-03-08 02:00:00,2017-03-08 02:00:00,114.0
2017-03-08 03:00:00,2017-03-08 03:00:00,114.0
2017-03-08 04:00:00,2017-03-08 04:00:00,60.0
2017-03-08 05:00:00,2017-03-08 05:00:00,60.0
2017-03-08 06:00:00,2017-03-08 06:00:00,78.0
2017-03-08 07:00:00,2017-03-08 07:00:00,60.0
2017-03-08 08:00:00,2017-03-08 08:00:00,60.0
2017-03-08 09:00:00,2017-03-08 09:00:00,60.0
2017-03-08 10:00:00,2017-03-08 10:00:00,60.0
2017-03-08 11:00:00,2017-03-08 11:00:00,60.0
2017-03-08 12:00:00,2017-03-08 12:00:00,108.0
2017-03-08 13:00:00,2017-03-08 13:00:00,117.0
2017-03-08 14:00:00,2017-03-08 14:00:00,122.0
2017-03-08 15:00:00,2017-03-08 15:00:00,119.0
2017-03-08 16:00:00,2017-03-08 16:00:00,118.0
2017-03-08 17:00:00,2017-03-08 17:00:00,117.0
2017-03-08 18:00:00,2017-03-08 18:00:00,119.0
2017-03-08 19:00:00,2017-03-08 19:00:00,110.0
2017-03-08 20:00:00,2017-03-08 20:00:00,113.0
2017-03-08 21:00:00,2017-03-08 21:00:00,106.0
2017-03-08 22:00:00,2017-03-08 22:00:00,97.0
2017-03-08 23:00:00,2017-03-08 23:00:00,109.0
2017-03-09 00:00:00,2017-03-09 00:00:00,114.0
2017-03-09 01:00:00,2017-03-09 01:00:00,114.0
2017-03-09 02:00:00,2017-03-09 02:00:00,114.0
2017-03-09 03:00:00,2017-03-09 03:00:00,114.0
2017-03-09 04:00:00,2017-03-09 04:00:00,60.0
2017-03-09 05:00:00,2017-03-09 05:00:00,60.0
2017-03-09 06:00:00,2017-03-09 06:00:00,66.0
2017-03-09 07:00:00,2017-03-09 07:00:00,60.0
2017-03-09 08:00:00,2017-03-09 08:00:00,60.0
2017-03-09 09:00:00,2017-03-09 09:00:00,60.0
2017-03-09 10:00:00,2017-03-09 10:00:00,60.0
2017-03-09 11:00:00,2017-03-09 11:00:00,60.0
2017-03-09 12:00:00,2017-03-09 12:00:00,108.0
2017-03-09 13:00:00,2017-03-09 13:00:00,117.0
2017-03-09 14:00:00,2017-03-09 14:00:00,118.0
2017-03-09 15:00:00,2017-03-09 15:00:00,115.0
2017-03-09 16:00:00,2017-03-09 16:00:00,118.0
2017-03-09 17:00:00,2017-03-09 17:00:00,116.0
2017-03-09 18:00:00,2017-03-09 18:00:00,113.0
2017-03-09 19:00:00,2017-03-09 19:00:00,111.0
2017-03-09 20:00:00,2017-03-09 20:00:00,107.0
2017-03-09 21:00:00,2017-03-09 21:00:00,103.0
2017-03-09 22:00:00,2017-03-09 22:00:00,98.0
2017-03-09 23:00:00,2017-03-09 23:00:00,104.0
2017-03-10 00:00:00,2017-03-10 00:00:00,108.0
2017-03-10 01:00:00,2017-03-10 01:00:00,108.0
2017-03-10 02:00:00,2017-03-10 02:00:00,114.0
2017-03-10 03:00:00,2017-03-10 03:00:00,108.0
2017-03-10 04:00:00,2017-03-10 04:00:00,60.0
2017-03-10 05:00:00,2017-03-10 05:00:00,60.0
2017-03-10 06:00:00,2017-03-10 06:00:00,60.0
2017-03-10 07:00:00,2017-03-10 07:00:00,60.0
2017-03-10 08:00:00,2017-03-10 08:00:00,60.0
2017-03-10 09:00:00,2017-03-10 09:00:00,60.0
2017-03-10 10:00:00,2017-03-10 10:00:00,60.0
2017-03-10 11:00:00,2017-03-10 11:00:00,60.0
2017-03-10 12:00:00,2017-03-10 12:00:00,66.0
2017-03-10 13:00:00,2017-03-10 13:00:00,98.0
2017-03-10 14:00:00,2017-03-10 14:00:00,104.0
2017-03-10 15:00:00,2017-03-10 15:00:00,105.0
2017-03-10 16:00:00,2017-03-10 16:00:00,153.0
2017-03-10 17:00:00,2017-03-10 17:00:00,139.0
2017-03-10 18:00:00,2017-03-10 18:00:00,107.0
2017-03-10 19:00:00,2017-03-10 19:00:00,104.0
2017-03-10 20:00:00,2017-03-10 20:00:00,190.0
2017-03-10 21:00:00,2017-03-10 21:00:00,79.0
2017-03-10 22:00:00,2017-03-10 22:00:00,120.0
2017-03-10 23:00:00,2017-03-10 23:00:00,102.0
2017-03-11 00:00:00,2017-03-11 00:00:00,60.0
2017-03-11 01:00:00,2017-03-11 01:00:00,60.0
2017-03-11 02:00:00,2017-03-11 02:00:00,60.0
2017-03-11 03:00:00,2017-03-11 03:00:00,60.0
2017-03-11 04:00:00,2017-03-11 04:00:00,60.0
2017-03-11 05:00:00,2017-03-11 05:00:00,60.0
2017-03-11 06:00:00,2017-03-11 06:00:00,60.0
2017-03-11 07:00:00,2017-03-11 07:00:00,60.0
2017-03-11 08:00:00,2017-03-11 08:00:00,60.0
2017-03-11 09:00:00,2017-03-11 09:00:00,60.0
2017-03-11 10:00:00,2017-03-11 10:00:00,60.0
2017-03-11 11:00:00,2017-03-11 11:00:00,60.0
2017-03-11 12:00:00,2017-03-11 12:00:00,60.0
2017-03-11 13:00:00,2017-03-11 13:00:00,60.0
2017-03-11 14:00:00,2017-03-11 14:00:00,65.0
2017-03-11 15:00:00,2017-03-11 15:00:00,94.0
2017-03-11 16:00:00,2017-03-11 16:00:00,147.0
2017-03-11 17:00:00,2017-03-11 17:00:00,170.0
2017-03-11 18:00:00,2017-03-11 18:00:00,165.0
2017-03-11 19:00:00,2017-03-11 19:00:00,109.0
2017-03-11 20:00:00,2017-03-11 20:00:00,106.0
2017-03-11 21:00:00,2017-03-11 21:00:00,100.0
2017-03-11 22:00:00,2017-03-11 22:00:00,99.0
2017-03-11 23:00:00,2017-03-11 23:00:00,54.0
2017-03-12 00:00:00,2017-03-12 00:00:00,60.0
2017-03-12 01:00:00,2017-03-12 01:00:00,60.0
2017-03-12 02:00:00,2017-03-12 02:00:00,60.0
2017-03-12 03:00:00,2017-03-12 03:00:00,60.0
2017-03-12 04:00:00,2017-03-12 04:00:00,60.0
2017-03-12 05:00:00,2017-03-12 05:00:00,60.0
2017-03-12 06:00:00,2017-03-12 06:00:00,60.0
2017-03-12 07:00:00,2017-03-12 07:00:00,60.0
2017-03-12 08:00:00,2017-03-12 08:00:00,60.0
2017-03-12 09:00:00,2017-03-12 09:00:00,60.0
2017-03-12 10:00:00,2017-03-12 10:00:00,60.0
2017-03-12 11:00:00,2017-03-12 11:00:00,60.0
2017-03-12 12:00:00,2017-03-12 12:00:00,60.0
2017-03-12 13:00:00,2017-03-12 13:00:00,59.0
2017-03-12 14:00:00,2017-03-12 14:00:00,63.0
2017-03-12 15:00:00,2017-03-12 15:00:00,119.0
2017-03-12 16:00:00,2017-03-12 16:00:00,117.0
2017-03-12 17:00:00,2017-03-12 17:00:00,113.0
2017-03-12 18:00:00,2017-03-12 18:00:00,114.0
2017-03-12 19:00:00,2017-03-12 19:00:00,108.0
2017-03-12 20:00:00,2017-03-12 20:00:00,111.0
2017-03-12 21:00:00,2017-03-12 21:00:00,104.0
2017-03-12 22:00:00,2017-03-12 22:00:00,104.0
2017-03-12 23:00:00,2017-03-12 23:00:00,110.0
2017-03-13 00:00:00,2017-03-13 00:00:00,120.0
2017-03-13 01:00:00,2017-03-13 01:00:00,120.0
2017-03-13 02:00:00,2017-03-13 02:00:00,120.0
2017-03-13 03:00:00,2017-03-13 03:00:00,120.0
2017-03-13 04:00:00,2017-03-13 04:00:00,120.0
2017-03-13 05:00:00,2017-03-13 05:00:00,120.0
2017-03-13 06:00:00,2017-03-13 06:00:00,114.0
2017-03-13 07:00:00,2017-03-13 07:00:00,114.0
2017-03-13 08:00:00,2017-03-13 08:00:00,114.0
2017-03-13 09:00:00,2017-03-13 09:00:00,114.0
2017-03-13 10:00:00,2017-03-13 10:00:00,114.0
2017-03-13 11:00:00,2017-03-13 11:00:00,114.0
2017-03-13 12:00:00,2017-03-13 12:00:00,115.0
2017-03-13 13:00:00,2017-03-13 13:00:00,126.0
2017-03-13 14:00:00,2017-03-13 14:00:00,117.0
2017-03-13 15:00:00,2017-03-13 15:00:00,138.0
2017-03-13 16:00:00,2017-03-13 16:00:00,126.0
2017-03-13 17:00:00,2017-03-13 17:00:00,124.0
2017-03-13 18:00:00,2017-03-13 18:00:00,126.0
2017-03-13 19:00:00,2017-03-13 19:00:00,79.0
2017-03-13 20:00:00,2017-03-13 20:00:00,112.0
2017-03-13 21:00:00,2017-03-13 21:00:00,121.0
2017-03-13 22:00:00,2017-03-13 22:00:00,112.0
2017-03-13 23:00:00,2017-03-13 23:00:00,120.0
2017-03-14 00:00:00,2017-03-14 00:00:00,120.0
2017-03-14 01:00:00,2017-03-14 01:00:00,120.0
2017-03-14 02:00:00,2017-03-14 02:00:00,120.0
2017-03-14 03:00:00,2017-03-14 03:00:00,120.0
2017-03-14 04:00:00,2017-03-14 04:00:00,120.0
2017-03-14 05:00:00,2017-03-14 05:00:00,60.0
2017-03-14 06:00:00,2017-03-14 06:00:00,72.0
2017-03-14 07:00:00,2017-03-14 07:00:00,60.0
2017-03-14 08:00:00,2017-03-14 08:00:00,60.0
2017-03-14 09:00:00,2017-03-14 09:00:00,60.0
2017-03-14 10:00:00,2017-03-14 10:00:00,72.0
2017-03-14 11:00:00,2017-03-14 11:00:00,60.0
2017-03-14 12:00:00,2017-03-14 12:00:00,60.0
2017-03-14 13:00:00,2017-03-14 13:00:00,113.0
2017-03-14 14:00:00,2017-03-14 14:00:00,108.0
2017-03-14 15:00:00,2017-03-14 15:00:00,120.0
2017-03-14 16:00:00,2017-03-14 16:00:00,114.0
2017-03-14 17:00:00,2017-03-14 17:00:00,144.0
2017-03-14 18:00:00,2017-03-14 18:00:00,96.0
2017-03-14 20:00:00,2017-03-14 20:00:00,123.0
2017-03-14 21:00:00,2017-03-14 21:00:00,122.0
2017-03-14 22:00:00,2017-03-14 22:00:00,80.0
2017-03-14 23:00:00,2017-03-14 23:00:00,115.0
2017-03-15 00:00:00,2017-03-15 00:00:00,120.0
2017-03-15 01:00:00,2017-03-15 01:00:00,126.0
2017-03-15 02:00:00,2017-03-15 02:00:00,120.0
2017-03-15 03:00:00,2017-03-15 03:00:00,120.0
2017-03-15 04:00:00,2017-03-15 04:00:00,120.0
2017-03-15 05:00:00,2017-03-15 05:00:00,120.0
2017-03-15 06:00:00,2017-03-15 06:00:00,120.0
2017-03-15 07:00:00,2017-03-15 07:00:00,114.0
2017-03-15 08:00:00,2017-03-15 08:00:00,114.0
2017-03-15 09:00:00,2017-03-15 09:00:00,114.0
2017-03-15 10:00:00,2017-03-15 10:00:00,114.0
2017-03-15 11:00:00,2017-03-15 11:00:00,114.0
2017-03-15 12:00:00,2017-03-15 12:00:00,114.0
2017-03-15 13:00:00,2017-03-15 13:00:00,127.0
2017-03-15 14:00:00,2017-03-15 14:00:00,121.0
2017-03-15 15:00:00,2017-03-15 15:00:00,117.0
2017-03-15 16:00:00,2017-03-15 16:00:00,110.0
2017-03-15 17:00:00,2017-03-15 17:00:00,120.0
2017-03-15 18:00:00,2017-03-15 18:00:00,114.0
2017-03-15 19:00:00,2017-03-15 19:00:00,77.0
2017-03-15 20:00:00,2017-03-15 20:00:00,136.0
2017-03-15 21:00:00,2017-03-15 21:00:00,138.0
2017-03-15 22:00:00,2017-03-15 22:00:00,111.0
2017-03-15 23:00:00,2017-03-15 23:00:00,115.0
2017-03-16 00:00:00,2017-03-16 00:00:00,120.0
2017-03-16 01:00:00,2017-03-16 01:00:00,126.0
